阿	tzk· 阝可 ·a
缱	icku· 纟㠯辶 ·qian
凵	mk· 凵 ·qian
荨	lbkc· 艹彐寸 ·qian
褰	wqht· 宀衣 ·qian
搴	wqhu· 宀手 ·qian
慊	hhbc· 忄䒑 ·qian
岍	vflc· 山一廾 ·qian
犍	qbuy· 牜聿廴 ·qian
肷	veq· 月欠 ·qian
箝	ruzg· ⺮扌甘 ·qian
藖	lqro· 艹臣又貝 ·qian
蕁	lbuk· 艹彐工口寸 ·qian
蔳	lkav· 艹氵龶⺝ ·qian
蒨	ljav· 艹亻龶⺝ ·qian
葴	lnfd· 艹戊一口 ·qian
葥	lhvp· 艹䒑⺝刂 ·qian
蚈	cflc· 虫一廾 ·qian
蚙	cjae· 虫亽 ·qian
荕	lvsl· 艹月力 ·qian
茾	lflc· 艹一廾 ·qian
蜸	qrcc· 臣又虫 ·qian
艌	ijah· 舟亽心 ·qian
臤	qry· 臣又 ·qian
膁	vhbc· 月䒑 ·qian
脥	vmjj· 月大人人 ·qian
羬	gnfd· ⺶戊一口 ·qian
繾	icku· 糹㠯辶 ·qian
縴	iziq· 糹亠幺冖牛 ·qian
綪	iavy· 糹龶⺝ ·qian
籤	rjjf· ⺮人人戈非一 ·qian
簽	rjdj· ⺮亼口口人人 ·qian
篟	rjav· ⺮亻龶⺝ ·qian
篏	rzeq· ⺮甘欠 ·qian
箞	rhhz· ⺮丷夫⺋ ·qian
竏	ilq· 立千 ·qian
諐	jdos· 亻口言 ·qian
謙	shbc· 言䒑 ·qian
譴	scku· 言㠯辶 ·qian
谸	lhg· 谷 ·qian
皘	uavy· 白龶⺝ ·qian
牽	ziwq· 亠幺冖牛 ·qian
燫	cxhc· 火广䒑 ·qian
熑	chbc· 火䒑 ·qian
煔	ccyd· 火火⺊口 ·qian
軡	yjae· 車亽 ·qian
灊	kddn· 氵旡旡鬲 ·qian
濳	kqpo· 氵⺧儿⺧儿曰 ·qian
潛	kddo· 氵旡曰 ·qian
輤	yavy· 車龶⺝ ·qian
淺	kppg· 氵戈戈 ·qian
遷	vmvu· 覀大巳辶 ·qian
汧	kflc· 氵一廾 ·qian
汘	klq· 氵千 ·qian
歬	sio· 止舟 ·qian
欦	jaeq· 亽欠 ·qian
櫏	evmu· 木覀大巳辶 ·qian
檶	emnd· 木大匸口口口 ·qian
橬	eddo· 木旡曰 ·qian
槧	ytem· 車斤木 ·qian
槏	ehbc· 木䒑 ·qian
釺	zlq· 金千 ·qian
榩	ezvw· 木虍文 ·qian
鈆	zhks· 金八厶 ·qian
鈐	zjae· 金亽 ·qian
棈	eavy· 木龶⺝ ·qian
鉆	zydk· 金⺊口 ·qian
鉗	zzg· 金甘 ·qian
鉛	zodk· 金几口 ·qian
銭	zmpg· 金二戈 ·qian
杄	elq· 木千 ·qian
朁	ddor· 旡曰 ·qian
錎	zxpj· 金⺈臼 ·qian
錢	zppg· 金戈戈 ·qian
鍼	znfd· 金戊一口 ·qian
攓	uwqp· 扌宀足 ·qian
攑	upfu· 扌一ㄅ丨 ·qian
攐	uwqt· 扌宀衣 ·qian
撁	uziq· 扌亠幺冖牛 ·qian
摼	uqrg· 扌臣又土 ·qian
揵	ubuy· 扌聿廴 ·qian
鏲	zziq· 金亠幺冖牛 ·qian
掔	qrus· 臣又手 ·qian
鐱	zjdj· 金亼口口人人 ·qian
挳	ufou· 扌一巛工 ·qian
鑓	zcku· 金㠯辶 ·qian
拪	uvx· 扌西 ·qian
鑯	zjjf· 金人人戈非一 ·qian
拑	uzg· 扌甘 ·qian
扲	ujae· 扌亽 ·qian
扡	uey· 扌也 ·qian
慳	hqrg· 忄臣又土 ·qian
悓	hej· 忄見 ·qian
雃	flui· 一廾隹 ·qian
忴	hjae· 忄亽 ·qian
靬	teg· 革干 ·qian
廞	xzeq· 广金欠 ·qian
韆	tvmu· 革覀大巳辶 ·qian
嵰	vhbc· 山䒑 ·qian
岒	vjae· 山亽 ·qian
顅	mvwy· 户⺝頁 ·qian
孯	qrhi· 臣又子 ·qian
孅	bjjf· 女人人戈非一 ·qian
嬱	kytb· 氵車斤女 ·qian
媊	bhvp· 女䒑⺝刂 ·qian
婜	qrbn· 臣又女 ·qian
奷	blq· 女千 ·qian
壍	kytg· 氵車斤土 ·qian
墘	gnoa· 土十日十𠂉乙 ·qian
塹	ytgt· 車斤土 ·qian
騚	nhvp· 馬䒑⺝刂 ·qian
騝	nbuy· 馬聿廴 ·qian
騫	wqhn· 宀馬 ·qian
圲	glq· 土千 ·qian
圱	lgt· 土 ·qian
鬜	peav· 镸彡門月 ·qian
鬝	peao· 镸彡門日 ·qian
唊	dmjj· 口大人人 ·qian
鰜	whbc· 魚䒑 ·qian
鰬	wzvw· 魚虍文 ·qian
鳒	whbc· 鱼䒑 ·qian
鳽	flxn· 一廾鳥 ·qian
厱	xjdj· 厂亼口口人人 ·qian
鵮	xpxn· ⺈臼鳥 ·qian
鶼	hbcx· 䒑鳥 ·qian
刋	lpd· 刂 ·qian
鹐	xpxn· ⺈臼鸟 ·qian
儙	jcku· 亻㠯辶 ·qian
僉	jddj· 亼口口人人 ·qian
傔	jhbc· 亻䒑 ·qian
偂	jhvp· 亻䒑⺝刂 ·qian
黚	pzg· 黑甘 ·qian
俔	jej· 亻見 ·qian
伣	jej· 亻见 ·qian
仱	jjae· 亻亽 ·qian
乹	nona· 十日十乚 ·qian
强	bdcc· 弓口虫 ·qiang
墙	gghd· 土土丷囗口 ·qiang
抢	ujzj· 扌人⺋ ·qiang
枪	ejzj· 木人⺋ ·qiang
腔	veug· 月穴工 ·qiang
羌	gae· ⺶乚 ·qiang
呛	djzj· 口人⺋ ·qiang
锵	zalk· 钅丬夕寸 ·qiang
将	alkc· 丬夕寸 ·qiang
戗	jzpg· 人⺋戈 ·qiang
蔷	lghd· 艹土丷囗口 ·qiang
樯	eghd· 木土丷囗口 ·qiang
炝	cjzj· 火人⺋ ·qiang
嫱	bghd· 女土丷囗口 ·qiang
羟	grug· ⺶ス工 ·qiang
戕	apg· 爿戈 ·qiang
跄	pjzj· ⻊人⺋ ·qiang
襁	tbdc· 衤弓口虫 ·qiang
蜣	cgae· 虫⺶乚 ·qiang
镪	zbdc· 钅弓口虫 ·qiang
锖	zavy· 钅龶⺝ ·qiang
薔	lgjd· 艹土人人囗口 ·qiang
蔃	lbdc· 艹弓口虫 ·qiang
蘠	lagd· 艹爿土人人囗口 ·qiang
艢	igjd· 舟土人人囗口 ·qiang
羻	gxah· ⺶乛心夊 ·qiang
羫	geug· ⺶穴工 ·qiang
羥	gfou· ⺶一巛工 ·qiang
羗	gaks· ⺶乚厶 ·qiang
繦	ibdc· 糹弓口虫 ·qiang
繈	ibkc· 糹弓厶虫 ·qiang
謒	sjmd· 言人口 ·qiang
瑲	njmd· 王人口 ·qiang
琷	ngae· 王⺶乚 ·qiang
玱	njzj· 王人⺋ ·qiang
獇	mgak· 犭⺶乚厶 ·qiang
猐	mgae· 犭⺶乚 ·qiang
蹌	pjmd· ⻊人口 ·qiang
蹡	pavk· ⻊爿寸 ·qiang
牆	agjd· 爿土人人囗口 ·qiang
牄	ajmd· 爿人口 ·qiang
熗	cjmd· 火人口 ·qiang
漒	kbdc· 氵弓口虫 ·qiang
溬	kgak· 氵⺶乚厶 ·qiang
檣	egjd· 木土人人囗口 ·qiang
槍	ejmd· 木人口 ·qiang
椌	eeug· 木穴工 ·qiang
錆	zavy· 金龶⺝ ·qiang
斨	atj· 爿斤 ·qiang
鎗	zjmd· 金人口 ·qiang
摪	uavk· 扌爿寸 ·qiang
摤	umbb· 扌大乂乂乂乂 ·qiang
搶	ujmd· 扌人口 ·qiang
鏘	zavk· 金爿寸 ·qiang
鏹	zbdc· 金弓口虫 ·qiang
戧	jmdp· 人口戈 ·qiang
彊	bfqf· 弓一田一田一 ·qiang
強	bkcc· 弓厶虫 ·qiang
廧	xgjd· 广土人人囗口 ·qiang
嶈	vavk· 山爿寸 ·qiang
將	avkc· 爿寸 ·qiang
嬙	bgjd· 女土人人囗口 ·qiang
墻	ggjd· 土土人人囗口 ·qiang
墏	avkg· 爿寸土 ·qiang
嗴	dgak· 口⺶乚厶 ·qiang
嗆	djmd· 口人口 ·qiang
唴	dgae· 口⺶乚 ·qiang
勥	bdcs· 弓口虫力 ·qiang
鶬	jmdx· 人口鳥 ·qiang
鸧	jzxn· 人⺋鸟 ·qiang
乔	tmpd· 丿大 ·qiao
桥	etmp· 木丿大 ·qiao
瞧	quch· 目隹灬 ·qiao
巧	ufae· 工一ㄅ ·qiao
侨	jtmp· 亻丿大 ·qiao
敲	ghp· 高攴 ·qiao
翘	pfpz· 一儿羽 ·qiao
锹	zxch· 钅禾火 ·qiao
撬	uvvv· 扌毛毛 ·qiao
壳	gwoj· 士冖几 ·qiao
俏	jyvy· 亻⺌⺝ ·qiao
樵	euch· 木隹灬 ·qiao
峭	vyvy· 山⺌⺝ ·qiao
跷	ppfp· ⻊一儿 ·qiao
鞘	tyvy· 革⺌⺝ ·qiao
窍	eufa· 穴工一ㄅ ·qiao
荞	ltmp· 艹丿大 ·qiao
悄	hyvy· 忄⺌⺝ ·qiao
峤	vtmp· 山丿大 ·qiao
愀	hxch· 忄禾火 ·qiao
谯	such· 讠隹灬 ·qiao
劁	ucpd· 隹灬刂 ·qiao
橇	evvv· 木毛毛 ·qiao
憔	huch· 忄隹灬 ·qiao
雀	yui· 𡭔隹 ·qiao
招	updk· 扌刀口 ·qiao
蕉	luch· 艹隹灬 ·qiao
诮	syvy· 讠⺌⺝ ·qiao
硗	mpfp· 石一儿 ·qiao
缲	idde· 纟口口口木 ·qiao
鞒	ttmp· 革丿大 ·qiao
硚	mtmp· 石丿大 ·qiao
蕎	ltmd· 艹丿大口冂口 ·qiao
藮	leuc· 艹木隹灬 ·qiao
菬	lkpd· 艹氵刀口 ·qiao
荍	lihp· 艹丩攵 ·qiao
蟜	ctmd· 虫丿大口冂口 ·qiao
翹	gggz· 土土土一儿羽 ·qiao
繰	idde· 糹口口口木 ·qiao
繑	itmd· 糹丿大口冂口 ·qiao
箾	ryvp· ⺮⺌⺝刂 ·qiao
竅	eulh· 穴白方攵 ·qiao
誚	syvy· 言⺌⺝ ·qiao
礉	mulh· 石白方攵 ·qiao
礄	mtmd· 石丿大口冂口 ·qiao
磽	mggp· 石土土土一儿 ·qiao
磝	maph· 石龶攵 ·qiao
碻	mgg· 石高 ·qiao
譙	such· 言隹灬 ·qiao
睄	qyvy· 目⺌⺝ ·qiao
癄	auch· 疒隹灬 ·qiao
趫	ptmd· 走丿大口冂口 ·qiao
趬	pggp· 走土土土一儿 ·qiao
踍	pqhi· ⻊耂子 ·qiao
蹺	pggp· ⻊土土土一儿 ·qiao
蹻	ptmd· ⻊丿大口冂口 ·qiao
燋	cuch· 火隹灬 ·qiao
燆	ctmd· 火丿大口冂口 ·qiao
躈	pulh· ⻊白方攵 ·qiao
焳	cui· 火隹 ·qiao
郻	qaot· 目㇗巛阝 ·qiao
鄡	xete· 木阝 ·qiao
鄥	xte· 鳥阝 ·qiao
毃	grs· 高殳 ·qiao
殼	gwfr· 士冖一几殳 ·qiao
殻	gwor· 士冖几殳 ·qiao
橾	edde· 木口口口木 ·qiao
橋	etmd· 木丿大口冂口 ·qiao
釥	zyx· 金小 ·qiao
鍫	xczj· 禾火金 ·qiao
鍬	zxch· 金禾火 ·qiao
撽	uulh· 扌白方攵 ·qiao
摮	aphu· 龶攵手 ·qiao
鐈	ztmd· 金丿大口冂口 ·qiao
鐰	zdde· 金口口口木 ·qiao
陗	tyvy· 阝⺌⺝ ·qiao
鞩	tyvp· 革⺌⺝刂 ·qiao
幧	rdde· 巾口口口木 ·qiao
鞽	ttmd· 革丿大口冂口 ·qiao
幓	rkke· 巾厶厶厶人彡 ·qiao
帩	ryvy· 巾⺌⺝ ·qiao
韒	gyvy· 韋⺌⺝ ·qiao
嶠	vtmd· 山丿大口冂口 ·qiao
嵪	vgg· 山高 ·qiao
頝	abwy· 六乂頁 ·qiao
顦	ucwy· 隹灬頁 ·qiao
嫶	buch· 女隹灬 ·qiao
墽	gulh· 土白方攵 ·qiao
墧	gtmd· 土丿大口冂口 ·qiao
墝	gggp· 土土土土一儿 ·qiao
塙	ggg· 土高 ·qiao
骹	fabi· 骨六乂 ·qiao
髚	gzoj· 高亠几 ·qiao
髜	gotl· 高日丿廾 ·qiao
噭	dulh· 口白方攵 ·qiao
嘺	dtmd· 口丿大口冂口 ·qiao
喬	tmdd· 丿大口冂口 ·qiao
勪	tmds· 丿大口冂口力 ·qiao
僺	jdde· 亻口口口木 ·qiao
僑	jtmd· 亻丿大口冂口 ·qiao
偢	jxch· 亻禾火 ·qiao
且	fq· 且 ·qie
切	rpd· 七刀 ·qie
窃	erpd· 穴七刀 ·qie
茄	lsdk· 艹力口 ·qie
锲	zapm· 钅丰刀大 ·qie
怯	hgks· 忄土厶 ·qie
妾	ibn· 立女 ·qie
箧	rnhh· ⺮匚夫丷 ·qie
砌	mrpd· 石七刀 ·qie
趄	pfq· 走且 ·qie
挈	apus· 丰刀手 ·qie
惬	hnhh· 忄匚夫丷 ·qie
伽	jsdk· 亻力口 ·qie
慊	hhbc· 忄䒑 ·qie
郄	bnkt· 㐅𠂇厶阝 ·qie
藒	lxof· 艹禾曰勹亾 ·qie
蛣	cgdk· 虫士口 ·qie
聺	qwhf· 耳宀示 ·qie
緁	ifbs· 糹一龰 ·qie
篋	rnmj· ⺮匚大人人 ·qie
詧	hsy· 言 ·qie
笡	rfq· ⺮且 ·qie
竊	etpv· 穴丿米⺊冂人禸 ·qie
穕	xuem· 禾隹木 ·qie
癿	uae· 白乚 ·qie
疌	fbsi· 一龰 ·qie
踥	pibn· ⻊立女 ·qie
淁	kibn· 氵立女 ·qie
洯	apks· 丰刀水 ·qie
朅	gkof· 土厶曰勹亾 ·qie
鍥	zapm· 金丰刀大 ·qie
鐑	zigd· 金糹士口 ·qie
愜	hnmj· 忄匚大人人 ·qie
悏	hmjj· 忄大人人 ·qie
帹	ribn· 巾立女 ·qie
嗛	dhbc· 口䒑 ·qie
魥	wcj· 魚及 ·qie
鯜	wibn· 魚立女 ·qie
鰈	wlae· 魚廿㇗木 ·qie
厒	xaf· 厂缶 ·qie
匧	nmjj· 匚大人人 ·qie
倢	jfbs· 亻一龰 ·qie
秦	aixh· ㇏禾 ·qin
勤	ldas· 廿口龶力 ·qin
亲	iem· 立木 ·qin
琴	nnja· 王王亽 ·qin
钦	zeq· 钅欠 ·qin
侵	jbwr· 亻彐冖又 ·qin
芹	ltj· 艹斤 ·qin
沁	khx· 氵心 ·qin
禽	jzbv· 人亠㐅凵禸 ·qin
噙	djzv· 口人亠㐅凵禸 ·qin
擒	ujzv· 扌人亠㐅凵禸 ·qin
寝	wabr· 宀丬彐冖又 ·qin
揿	uzeq· 扌钅欠 ·qin
芩	ljae· 艹亽 ·qin
嗪	daix· 口㇏禾 ·qin
衾	jati· 亽衣 ·qin
溱	kaix· 氵㇏禾 ·qin
吣	dhx· 口心 ·qin
檎	ejzv· 木人亠㐅凵禸 ·qin
锓	zbwr· 钅彐冖又 ·qin
堇	ldaf· 廿口龶 ·qin
廑	xlda· 广廿口龶 ·qin
螓	caix· 虫㇏禾 ·qin
覃	vons· 覀日十 ·qin
嵚	vzeq· 山钅欠 ·qin
骎	nbwr· 马彐冖又 ·qin
藽	liee· 艹立木見 ·qin
菳	lzj· 艹金 ·qin
菦	ltuc· 艹斤辶 ·qin
菣	lqry· 艹臣又 ·qin
蚙	cjae· 虫亽 ·qin
螼	clda· 虫廿口龶 ·qin
蠄	cjzv· 虫人亠㐅凵禸 ·qin
耹	qjae· 耳亽 ·qin
親	ieej· 立木見 ·qin
綅	ibwr· 糹彐冖又 ·qin
笉	rnwb· ⺮勹冫 ·qin
誛	sbwr· 言彐冖又 ·qin
矝	itjk· 予丿亽龴 ·qin
瘽	alda· 疒廿口龶 ·qin
赺	pjae· 走亽 ·qin
赾	ptj· 走斤 ·qin
琹	nnem· 王王木 ·qin
珡	nnjr· 王王人 ·qin
瀙	kiee· 氵立木見 ·qin
濅	kwbr· 氵宀彐冖巾又 ·qin
澿	keef· 氵木木示 ·qin
欽	zeq· 金欠 ·qin
櫬	eiee· 木立木見 ·qin
橬	eddo· 木旡曰 ·qin
鈂	zwpe· 金冖 ·qin
鈊	zhx· 金心 ·qin
鈙	zhp· 金攴 ·qin
鈫	zvw· 金文 ·qin
梫	ebwr· 木彐冖又 ·qin
鋟	zbwr· 金彐冖又 ·qin
昑	ojae· 日亽 ·qin
斳	ldat· 廿口龶斤 ·qin
撳	uzeq· 扌金欠 ·qin
搇	ujat· 扌亽衣 ·qin
捦	uzj· 扌金 ·qin
抋	uhx· 扌心 ·qin
扲	ujae· 扌亽 ·qin
懄	hlds· 忄廿口龶力 ·qin
懃	ldah· 廿口龶力心 ·qin
慬	hlda· 忄廿口龶 ·qin
雂	jaui· 亽隹 ·qin
忴	hjae· 忄亽 ·qin
靲	tjae· 革亽 ·qin
嶜	vddo· 山旡曰 ·qin
嶔	vzeq· 山金欠 ·qin
顉	zwy· 金頁 ·qin
顩	jddw· 亼口口人人頁 ·qin
寴	wiee· 宀立木見 ·qin
寢	wabr· 宀爿彐冖又 ·qin
寑	wjbr· 宀亻彐冖又 ·qin
嫀	baix· 女㇏禾 ·qin
媇	biem· 女立木 ·qin
駸	nbwr· 馬彐冖又 ·qin
墐	glda· 土廿口龶 ·qin
埐	gbwr· 土彐冖又 ·qin
埁	gvja· 土山亽 ·qin
坅	gjae· 土亽 ·qin
鬵	ddng· 旡旡鬲 ·qin
唚	dbwr· 口彐冖又 ·qin
鮼	wbwr· 魚彐冖又 ·qin
吢	hdk· 心口 ·qin
鳹	jaxn· 亽鳥 ·qin
厪	xlda· 厂廿口龶 ·qin
鵭	zxn· 金鳥 ·qin
儭	jiee· 亻立木見 ·qin
清	kavy· 氵龶⺝ ·qing
请	savy· 讠龶⺝ ·qing
庆	xmd· 广大 ·qing
情	havy· 忄龶⺝ ·qing
青	avy· 龶⺝ ·qing
轻	yrug· ス工 ·qing
晴	oavy· 日龶⺝ ·qing
卿	big· 卯艮 ·qing
倾	jvwy· 亻页 ·qing
氢	vrug· 气ス工 ·qing
擎	lghu· 艹句攵手 ·qing
氰	vavy· 气龶⺝ ·qing
箐	ravy· ⺮龶⺝ ·qing
顷	vwy· 页 ·qing
磬	gcrm· 士殳石 ·qing
罄	gcra· 士殳缶 ·qing
鲭	wavy· 鱼龶⺝ ·qing
苘	lmdk· 艹冂口 ·qing
蜻	cavy· 虫龶⺝ ·qing
亲	iem· 立木 ·qing
黥	pgyx· 小 ·qing
圊	ravy· 囗龶⺝ ·qing
綮	mhis· 户攵糸 ·qing
謦	gcrs· 士殳言 ·qing
檠	lghe· 艹句攵木 ·qing
勍	gysl· 小力 ·qing
庼	xvwy· 广页 ·qing
葝	lfos· 艹一巛工力 ·qing
莔	lrhm· 艹囗八冂 ·qing
親	ieej· 立木見 ·qing
綪	iavy· 糹龶⺝ ·qing
請	savy· 言龶⺝ ·qing
碃	mavy· 石龶⺝ ·qing
甠	ols· 日生 ·qing
軽	yrgt· 車又土 ·qing
濪	kavm· 氵龶⺝⺈巴 ·qing
輕	yfou· 車一巛工 ·qing
漀	gcrk· 士殳水 ·qing
渹	knsy· 氵勹言 ·qing
淸	kavy· 氵龶円 ·qing
郬	avte· 龶⺝阝 ·qing
氫	vfou· 气一巛工 ·qing
殸	gcrs· 士殳 ·qing
殑	gcpe· 歹古儿 ·qing
檾	ccwe· 火火冖木木 ·qing
樈	expe· 木音儿 ·qing
棾	eewo· 木木冖几 ·qing
暒	ools· 日日生 ·qing
擏	ulgh· 扌艹句攵 ·qing
掅	uavy· 扌龶⺝ ·qing
鑋	yfoz· 車一巛工金 ·qing
慶	xahh· 乛心夊 ·qing
靑	avy· 龶円 ·qing
靘	avxm· 龶⺝⺈巴 ·qing
廎	xvwy· 广頁 ·qing
頃	vwy· 頁 ·qing
寈	wavy· 宀龶⺝ ·qing
夝	lls· 夕生 ·qing
埥	gavy· 土龶⺝ ·qing
啨	davy· 口龶⺝ ·qing
鯖	wavy· 魚龶⺝ ·qing
鶄	avxn· 龶⺝鳥 ·qing
剠	gypd· 小刂 ·qing
凊	wavy· 冫龶⺝ ·qing
儬	jave· 亻龶⺝見 ·qing
傾	jvwy· 亻頁 ·qing
穷	esl· 穴力 ·qiong
琼	ngyx· 王小 ·qiong
穹	ebg· 穴弓 ·qiong
跫	uoip· 工几丶足 ·qiong
邛	ute· 工阝 ·qiong
茕	lwan· 艹冖⺄十 ·qiong
銎	uoiz· 工几丶金 ·qiong
筇	rute· ⺮工阝 ·qiong
蛩	uoic· 工几丶虫 ·qiong
览	prej· 〢见 ·qiong
藑	lxmh· 艹⺈人目夊 ·qiong
藭	lezb· 艹穴身弓 ·qiong
蛬	lhcc· 龷八虫 ·qiong
舼	ilhb· 舟龷八 ·qiong
笻	ruzj· ⺮工卩 ·qiong
竆	ezdd· 穴身口口 ·qiong
窮	ezbg· 穴身弓 ·qiong
瞏	ygdt· 罒土口 ·qiong
睘	yfdt· 罒一口 ·qiong
赹	pnwb· 走勹冫 ·qiong
瓗	nvud· 王山隹冂八口 ·qiong
瓊	nxmh· 王⺈人目夊 ·qiong
璚	nitd· 王予丿冂八口 ·qiong
琁	nets· 王𠂉疋 ·qiong
熍	cwdd· 火宀口口 ·qiong
煢	ccwn· 火火冖⺄十 ·qiong
焭	ccwo· 火火冖几 ·qiong
焪	cebg· 火穴弓 ·qiong
橩	eccn· 木火火冖⺄十 ·qiong
桏	eute· 木工阝 ·qiong
憌	znwh· 金勹冫心 ·qiong
惸	hnoh· 忄勹日子 ·qiong
宆	wbg· 宀弓 ·qiong
嬛	byft· 女罒一口 ·qiong
卭	uzj· 工卩 ·qiong
儝	jcce· 亻火火冖木 ·qiong
纗	ivud· 糹山隹冂八口 ·qiong
求	fkid· 一氺丶 ·qiu
球	nfki· 王一氺丶 ·qiu
秋	xch· 禾火 ·qiu
邱	tfte· 一阝 ·qiu
丘	tfi· 一 ·qiu
裘	fkit· 一氺丶衣 ·qiu
囚	rjr· 囗人 ·qiu
虬	cae· 虫乚 ·qiu
湫	kxch· 氵禾火 ·qiu
遒	hyuc· 丷酉辶 ·qiu
泅	krjr· 氵囗人 ·qiu
楸	exch· 木禾火 ·qiu
鳅	wxch· 鱼禾火 ·qiu
巯	rubo· ス工 ·qiu
逑	fkiu· 一氺丶辶 ·qiu
俅	jfki· 亻一氺丶 ·qiu
酋	hyy· 丷酉 ·qiu
龟	wg· 龟 ·qiu
仇	jkj· 亻九 ·qiu
蚯	ctfi· 虫一 ·qiu
糗	pomq· 米自犬 ·qiu
鼽	oqlk· 自田丌九 ·qiu
赇	ofki· 贝一氺丶 ·qiu
蝤	chyy· 虫丷酉 ·qiu
犰	mkj· 犭九 ·qiu
訄	ksy· 九言 ·qiu
璆	nzje· 王羽人彡 ·qiu
萩	lxch· 艹禾火 ·qiu
鞧	thyy· 革丷酉 ·qiu
蓲	lndd· 艹匸口口口 ·qiu
蘒	lxwg· 艹禾亀 ·qiu
虯	cij· 虫丩 ·qiu
莍	lfki· 艹一氺丶 ·qiu
蛷	cfki· 虫一氺丶 ·qiu
蝵	xccc· 禾火虫 ·qiu
蟗	ndwc· 十口冖屮凵虫 ·qiu
蠤	hycc· 丷酉虫虫 ·qiu
肍	vkj· 月九 ·qiu
觓	xtij· ⺈用丩 ·qiu
緧	ihyy· 糹丷酉 ·qiu
觩	xtfi· ⺈用一氺丶 ·qiu
絿	ifki· 糹一氺丶 ·qiu
紌	ioy· 糹尤 ·qiu
訅	skj· 言九 ·qiu
篍	rxch· ⺮禾火 ·qiu
穐	xwg· 禾亀 ·qiu
秌	cxh· 火禾 ·qiu
盚	fkia· 一氺丶皿 ·qiu
皳	fkir· 一氺丶皮 ·qiu
賕	ofki· 貝一氺丶 ·qiu
趥	phyy· 走丷酉 ·qiu
玌	nae· 王乚 ·qiu
牫	qpg· 牜戈 ·qiu
煪	chyy· 火丷酉 ·qiu
湭	khyy· 氵丷酉 ·qiu
渞	khoi· 氵䒑自 ·qiu
逎	yuc· 酉辶 ·qiu
浗	kfki· 氵一氺丶 ·qiu
汓	khi· 氵子 ·qiu
氿	kkj· 氵九 ·qiu
毬	vfki· 毛一氺丶 ·qiu
醔	xcyy· 禾火酉 ·qiu
殏	gfki· 歹一氺丶 ·qiu
釓	zae· 金乚 ·qiu
櫹	elba· 木艹𦘒 ·qiu
釚	zkj· 金九 ·qiu
橚	ebaa· 木𦘒 ·qiu
梂	efki· 木一氺丶 ·qiu
銶	zfki· 金一氺丶 ·qiu
朹	ekj· 木九 ·qiu
搝	uomq· 扌自犬 ·qiu
捄	ufki· 扌一氺丶 ·qiu
扏	ukj· 扌九 ·qiu
恘	hjem· 忄亻木 ·qiu
鞦	txch· 革禾火 ·qiu
巰	fouo· 一巛工 ·qiu
崷	vhyy· 山丷酉 ·qiu
媝	xcbn· 禾火女 ·qiu
坵	gtfi· 土一 ·qiu
鮂	wrjr· 魚囗人 ·qiu
唒	dyy· 口酉 ·qiu
鯄	wfki· 魚一氺丶 ·qiu
鰌	whyy· 魚丷酉 ·qiu
鰍	wxch· 魚禾火 ·qiu
鰽	wfyo· 魚一曲曰 ·qiu
鱃	wgag· 魚⺶ヿ土 ·qiu
叴	kdk· 九口 ·qiu
厹	kks· 九厶 ·qiu
鶖	xcxn· 禾火鳥 ·qiu
鹙	xcxn· 禾火鸟 ·qiu
龜	wg· 龜 ·qiu
龝	xwg· 禾龜 ·qiu
丠	avfi· 匕一 ·qiu
去	gks· 土厶 ·qu
区	nbi· 匸㐅 ·qu
曲	yq· 曲 ·qu
取	qry· 耳又 ·qu
渠	knne· 氵匚コ木 ·qu
趋	pxbj· 走⺈彐 ·qu
趣	pqry· 走耳又 ·qu
娶	qrbn· 耳又女 ·qu
屈	csmk· 尸屮凵 ·qu
躯	znbi· 身匸㐅 ·qu
瞿	qqui· 目目隹 ·qu
驱	nnbi· 马匸㐅 ·qu
衢	pqqu· 行目目隹 ·qu
祛	fgks· 礻土厶 ·qu
蛆	cfq· 虫且 ·qu
蕖	lkne· 艹氵匚コ木 ·qu
龋	ltdv· 齿丿口⽱ ·qu
朐	vgj· 月句 ·qu
觑	zcej· 虍业见 ·qu
阒	aqmq· 门目犬 ·qu
诎	ssmk· 讠屮凵 ·qu
劬	gsl· 句力 ·qu
蠼	cqqr· 虫目目隹又 ·qu
戌	nfi· 戊一 ·qu
岖	vnbi· 山匸㐅 ·qu
蛐	cyq· 虫曲 ·qu
癯	aqqu· 疒目目隹 ·qu
鸲	gxn· 句鸟 ·qu
黢	pkhh· 厶八夊 ·qu
璩	nzjs· 王虍豕 ·qu
磲	mkne· 石氵匚コ木 ·qu
蘧	lzju· 艹虍豕辶 ·qu
氍	qquv· 目目隹毛 ·qu
苣	lnnk· 艹匚コ ·qu
麴	ejjp· 木人人夂勹米 ·qu
焌	ckhh· 火厶八夊 ·qu
袪	tgks· 衤土厶 ·qu
鼩	pgj· 鼠句 ·qu
葋	lvgj· 艹月句 ·qu
菃	lknn· 艹氵匚コ ·qu
蚼	cgj· 虫句 ·qu
蝺	ctdv· 虫丿口⽱ ·qu
螶	nncc· 匚コ虫虫 ·qu
蟝	ckne· 虫氵匚コ木 ·qu
臞	vqqu· 月目目隹 ·qu
蠷	cqqu· 虫目目隹 ·qu
衐	pnnk· 行匚コ ·qu
胠	vgks· 月土厶 ·qu
胊	vgj· ⺼句 ·qu
耝	afq· 耒且 ·qu
翵	zxn· 羽鳥 ·qu
翑	zgj· 羽句 ·qu
覰	zfej· 虍且見 ·qu
覷	zcej· 虍业見 ·qu
